,line6
0,522.0
1,1376.0
2,2137.0
3,1996.0
4,1920.0
5,1587.0
6,1500.0
7,1601.0
8,1835.0
9,1990.0
10,2003.0
11,1818.0
12,1724.0
13,1349.0
14,1254.0
15,1054.0
16,519.0
17,1249.0
18,2065.0
19,1922.0
20,2096.0
21,1967.0
22,1870.0
23,2014.0
24,2258.0
25,2255.0
26,1984.0
27,1801.0
28,1741.0
29,1357.0
30,1223.0
31,1115.0
32,520.0
33,1280.0
34,2117.0
35,1935.0
36,2005.0
37,1777.0
38,1850.0
39,2048.0
40,2373.0
41,2221.0
42,2007.0
43,1932.0
44,1835.0
45,1387.0
46,1241.0
47,1061.0
48,1299.0
49,3473.0
50,4036.0
51,2500.0
52,1946.0
53,1584.0
54,1366.0
55,1520.0
56,1694.0
57,1889.0
58,2177.0
59,3051.0
60,2958.0
61,1456.0
62,1080.0
63,871.0
64,1299.0
65,3473.0
66,4036.0
67,2500.0
68,1946.0
69,1584.0
70,1366.0
71,1520.0
72,1694.0
73,1889.0
74,2177.0
75,3051.0
76,2958.0
77,1456.0
78,1080.0
79,871.0
80,1243.0
81,3412.0
82,3753.0
83,2344.0
84,1801.0
85,1488.0
86,1376.0
87,1579.0
88,1695.0
89,1886.0
90,2157.0
91,3055.0
92,3000.0
93,1302.0
94,1136.0
95,1102.0
96,1108.0
97,3464.0
98,3934.0
99,2702.0
100,1920.0
101,1756.0
102,1553.0
103,1812.0
104,1933.0
105,2039.0
106,2436.0
107,3300.0
108,3049.0
109,1638.0
110,1213.0
111,966.0
