,year,month,day,hours,counts,hours2,Wday,Wnight,Tday,Tnight,WDFday,WDFnight,avgT,week,isFestival,dayFestival,isWork,firstWork,lastWork
0,2014,8,1,6,1003,36,1,3,7,5,1,1,6.0,5,0,0,1,5,1
1,2014,8,1,7,3303,49,1,3,7,5,1,1,6.0,5,0,0,1,5,1
2,2014,8,1,8,4109,64,1,3,7,5,1,1,6.0,5,0,0,1,5,1
3,2014,8,1,9,2707,81,1,3,7,5,1,1,6.0,5,0,0,1,5,1
4,2014,8,1,10,2003,100,1,3,7,5,1,1,6.0,5,0,0,1,5,1
5,2014,8,1,11,1579,121,1,3,7,5,1,1,6.0,5,0,0,1,5,1
6,2014,8,1,12,1554,144,1,3,7,5,1,1,6.0,5,0,0,1,5,1
7,2014,8,1,13,1678,169,1,3,7,5,1,1,6.0,5,0,0,1,5,1
8,2014,8,1,14,1858,196,1,3,7,5,1,1,6.0,5,0,0,1,5,1
9,2014,8,1,15,1862,225,1,3,7,5,1,1,6.0,5,0,0,1,5,1
10,2014,8,1,16,1892,256,1,3,7,5,1,1,6.0,5,0,0,1,5,1
11,2014,8,1,17,2863,289,1,3,7,5,1,1,6.0,5,0,0,1,5,1
12,2014,8,1,18,3159,324,1,3,7,5,1,1,6.0,5,0,0,1,5,1
13,2014,8,1,19,1914,361,1,3,7,5,1,1,6.0,5,0,0,1,5,1
14,2014,8,1,20,1537,400,1,3,7,5,1,1,6.0,5,0,0,1,5,1
15,2014,8,1,21,1228,441,1,3,7,5,1,1,6.0,5,0,0,1,5,1
16,2014,8,2,6,942,36,3,3,7,5,1,1,6.0,6,0,0,0,0,0
17,2014,8,2,7,1945,49,3,3,7,5,1,1,6.0,6,0,0,0,0,0
18,2014,8,2,8,2739,64,3,3,7,5,1,1,6.0,6,0,0,0,0,0
19,2014,8,2,9,2530,81,3,3,7,5,1,1,6.0,6,0,0,0,0,0
20,2014,8,2,10,1934,100,3,3,7,5,1,1,6.0,6,0,0,0,0,0
21,2014,8,2,11,1528,121,3,3,7,5,1,1,6.0,6,0,0,0,0,0
22,2014,8,2,12,1608,144,3,3,7,5,1,1,6.0,6,0,0,0,0,0
23,2014,8,2,13,1507,169,3,3,7,5,1,1,6.0,6,0,0,0,0,0
24,2014,8,2,14,1604,196,3,3,7,5,1,1,6.0,6,0,0,0,0,0
25,2014,8,2,15,1577,225,3,3,7,5,1,1,6.0,6,0,0,0,0,0
26,2014,8,2,16,1810,256,3,3,7,5,1,1,6.0,6,0,0,0,0,0
27,2014,8,2,17,2376,289,3,3,7,5,1,1,6.0,6,0,0,0,0,0
28,2014,8,2,18,1705,324,3,3,7,5,1,1,6.0,6,0,0,0,0,0
29,2014,8,2,19,1167,361,3,3,7,5,1,1,6.0,6,0,0,0,0,0
30,2014,8,2,20,1476,400,3,3,7,5,1,1,6.0,6,0,0,0,0,0
31,2014,8,2,21,1354,441,3,3,7,5,1,1,6.0,6,0,0,0,0,0
32,2014,8,3,6,859,36,3,3,7,5,1,1,6.0,7,0,0,0,0,0
33,2014,8,3,7,1483,49,3,3,7,5,1,1,6.0,7,0,0,0,0,0
34,2014,8,3,8,2186,64,3,3,7,5,1,1,6.0,7,0,0,0,0,0
35,2014,8,3,9,1767,81,3,3,7,5,1,1,6.0,7,0,0,0,0,0
36,2014,8,3,10,1688,100,3,3,7,5,1,1,6.0,7,0,0,0,0,0
37,2014,8,3,11,1565,121,3,3,7,5,1,1,6.0,7,0,0,0,0,0
38,2014,8,3,12,1446,144,3,3,7,5,1,1,6.0,7,0,0,0,0,0
39,2014,8,3,13,1642,169,3,3,7,5,1,1,6.0,7,0,0,0,0,0
40,2014,8,3,14,1858,196,3,3,7,5,1,1,6.0,7,0,0,0,0,0
41,2014,8,3,15,1617,225,3,3,7,5,1,1,6.0,7,0,0,0,0,0
42,2014,8,3,16,1912,256,3,3,7,5,1,1,6.0,7,0,0,0,0,0
43,2014,8,3,17,2093,289,3,3,7,5,1,1,6.0,7,0,0,0,0,0
44,2014,8,3,18,1989,324,3,3,7,5,1,1,6.0,7,0,0,0,0,0
45,2014,8,3,19,1494,361,3,3,7,5,1,1,6.0,7,0,0,0,0,0
46,2014,8,3,20,1472,400,3,3,7,5,1,1,6.0,7,0,0,0,0,0
47,2014,8,3,21,1193,441,3,3,7,5,1,1,6.0,7,0,0,0,0,0
48,2014,8,4,6,1405,36,2,2,7,5,1,1,6.0,1,0,0,1,1,5
49,2014,8,4,7,3719,49,2,2,7,5,1,1,6.0,1,0,0,1,1,5
50,2014,8,4,8,4422,64,2,2,7,5,1,1,6.0,1,0,0,1,1,5
51,2014,8,4,9,2514,81,2,2,7,5,1,1,6.0,1,0,0,1,1,5
52,2014,8,4,10,1779,100,2,2,7,5,1,1,6.0,1,0,0,1,1,5
53,2014,8,4,11,1559,121,2,2,7,5,1,1,6.0,1,0,0,1,1,5
54,2014,8,4,12,1464,144,2,2,7,5,1,1,6.0,1,0,0,1,1,5
55,2014,8,4,13,1664,169,2,2,7,5,1,1,6.0,1,0,0,1,1,5
56,2014,8,4,14,1649,196,2,2,7,5,1,1,6.0,1,0,0,1,1,5
57,2014,8,4,15,1933,225,2,2,7,5,1,1,6.0,1,0,0,1,1,5
58,2014,8,4,16,1669,256,2,2,7,5,1,1,6.0,1,0,0,1,1,5
59,2014,8,4,17,2763,289,2,2,7,5,1,1,6.0,1,0,0,1,1,5
60,2014,8,4,18,3012,324,2,2,7,5,1,1,6.0,1,0,0,1,1,5
61,2014,8,4,19,1571,361,2,2,7,5,1,1,6.0,1,0,0,1,1,5
62,2014,8,4,20,1543,400,2,2,7,5,1,1,6.0,1,0,0,1,1,5
63,2014,8,4,21,1063,441,2,2,7,5,1,1,6.0,1,0,0,1,1,5
64,2014,8,5,6,1009,36,3,2,7,5,1,1,6.0,2,0,0,1,2,4
65,2014,8,5,7,3071,49,3,2,7,5,1,1,6.0,2,0,0,1,2,4
66,2014,8,5,8,4271,64,3,2,7,5,1,1,6.0,2,0,0,1,2,4
67,2014,8,5,9,2215,81,3,2,7,5,1,1,6.0,2,0,0,1,2,4
68,2014,8,5,10,1663,100,3,2,7,5,1,1,6.0,2,0,0,1,2,4
69,2014,8,5,11,1544,121,3,2,7,5,1,1,6.0,2,0,0,1,2,4
70,2014,8,5,12,1334,144,3,2,7,5,1,1,6.0,2,0,0,1,2,4
71,2014,8,5,13,1499,169,3,2,7,5,1,1,6.0,2,0,0,1,2,4
72,2014,8,5,14,1624,196,3,2,7,5,1,1,6.0,2,0,0,1,2,4
73,2014,8,5,15,1629,225,3,2,7,5,1,1,6.0,2,0,0,1,2,4
74,2014,8,5,16,1781,256,3,2,7,5,1,1,6.0,2,0,0,1,2,4
75,2014,8,5,17,2587,289,3,2,7,5,1,1,6.0,2,0,0,1,2,4
76,2014,8,5,18,2857,324,3,2,7,5,1,1,6.0,2,0,0,1,2,4
77,2014,8,5,19,1792,361,3,2,7,5,1,1,6.0,2,0,0,1,2,4
78,2014,8,5,20,1085,400,3,2,7,5,1,1,6.0,2,0,0,1,2,4
79,2014,8,5,21,953,441,3,2,7,5,1,1,6.0,2,0,0,1,2,4
80,2014,8,6,6,979,36,3,3,7,5,1,1,6.0,3,0,0,1,3,3
81,2014,8,6,7,2888,49,3,3,7,5,1,1,6.0,3,0,0,1,3,3
82,2014,8,6,8,4055,64,3,3,7,5,1,1,6.0,3,0,0,1,3,3
83,2014,8,6,9,2535,81,3,3,7,5,1,1,6.0,3,0,0,1,3,3
84,2014,8,6,10,1901,100,3,3,7,5,1,1,6.0,3,0,0,1,3,3
85,2014,8,6,11,1682,121,3,3,7,5,1,1,6.0,3,0,0,1,3,3
86,2014,8,6,12,1667,144,3,3,7,5,1,1,6.0,3,0,0,1,3,3
87,2014,8,6,13,1576,169,3,3,7,5,1,1,6.0,3,0,0,1,3,3
88,2014,8,6,14,1988,196,3,3,7,5,1,1,6.0,3,0,0,1,3,3
89,2014,8,6,15,2041,225,3,3,7,5,1,1,6.0,3,0,0,1,3,3
90,2014,8,6,16,1957,256,3,3,7,5,1,1,6.0,3,0,0,1,3,3
91,2014,8,6,17,2854,289,3,3,7,5,1,1,6.0,3,0,0,1,3,3
92,2014,8,6,18,2982,324,3,3,7,5,1,1,6.0,3,0,0,1,3,3
93,2014,8,6,19,1833,361,3,3,7,5,1,1,6.0,3,0,0,1,3,3
94,2014,8,6,20,1388,400,3,3,7,5,1,1,6.0,3,0,0,1,3,3
95,2014,8,6,21,1156,441,3,3,7,5,1,1,6.0,3,0,0,1,3,3
96,2014,8,7,6,1068,36,3,3,6,5,1,1,5.5,4,0,0,1,4,2
97,2014,8,7,7,3205,49,3,3,6,5,1,1,5.5,4,0,0,1,4,2
98,2014,8,7,8,4110,64,3,3,6,5,1,1,5.5,4,0,0,1,4,2
99,2014,8,7,9,2878,81,3,3,6,5,1,1,5.5,4,0,0,1,4,2
100,2014,8,7,10,2246,100,3,3,6,5,1,1,5.5,4,0,0,1,4,2
101,2014,8,7,11,1698,121,3,3,6,5,1,1,5.5,4,0,0,1,4,2
